repo_id,forked_from,parent_id,hf_parent_id,depth,hf_depth,is_Hard_fork,full_name,owner_id,name,created_at,updated_at,build_file,ALL,0.7,0.9,0.3,1 Commit
97582,NULL,97582,NULL,0,NULL,0,Raxa/raxacore,147905,raxacore,41029.30486,43587.97222,pom.xml,Parent,Parent,Parent,Parent,Parent
5504194,4143,4143,NULL,1,NULL,0,FearFree/Essentials,826282,Essentials,41729.58472,43548.93611,pom.xml,Hard,Social,Social,Social,Hard
5577470,4143,4143,NULL,1,NULL,0,KingFaris10/Essentials,1681412,Essentials,41554.59236,42304.59444,pom.xml,Social,Social,Social,Social,Hard
6681816,4143,4143,NULL,1,NULL,0,wolfwork/Essentials,1277545,Essentials,41867.17153,42435.53056,pom.xml,Hard,Social,Social,Social,Hard
105839992,10032456,10032456,NULL,1,NULL,0,ashuparekh/phoenix,4120586,phoenix,43315.73125,25570,pom.xml,Hard,Social,Social,Social,Hard
17870394,4143,4143,17870394,1,0,1,TotalFreedom/TF-Essentials,1759241,TF-Essentials,41818.82639,43609.28542,pom.xml,Hard,Hard,Hard,Hard,Hard
24109305,3531293,4143,NULL,2,NULL,0,Agazed/Essentials,7386857,Essentials,42240.53125,43415.89306,pom.xml,Hard,Social,Social,Social,Hard
28501167,3531293,4143,NULL,2,NULL,0,Androkai/Essentials,1904978,Essentials,42315.85833,42405.74444,pom.xml,Social,Social,Social,Social,Hard
35874938,7025061,7025061,NULL,1,NULL,0,bryant1410/Calligraphy,3199002,Calligraphy,42488.56111,25569.04167,build.gradle,Hard,Social,Social,Social,Social
35828409,3531293,4143,NULL,2,NULL,0,nathampa0909/Essentials,3080388,Essentials,42487.66944,25569.04167,pom.xml,Social,Social,Social,Social,Hard
44108866,3531293,4143,NULL,2,NULL,0,md678685/Essentials,2509007,Essentials,42605.75069,43530.22569,pom.xml,Hard,Social,Social,Social,Hard
44108886,3531293,4143,NULL,2,NULL,0,N3FS/Essentials,30649921,Essentials,42605.75069,43615.59306,pom.xml,Hard,Social,Social,Social,Hard
45117499,30777963,30777963,NULL,1,NULL,0,sjka/openhab2-addons,1858895,openhab2-addons,42618.57292,25570,pom.xml,Social,Social,Social,Social,Hard
51056927,3531293,4143,NULL,2,NULL,0,lucko/Essentials,7947392,Essentials,42692.82917,25570,pom.xml,Social,Social,Social,Social,Hard
58076961,3531293,4143,NULL,2,NULL,0,SavageCore/Essentials,930833,Essentials,42790.67708,25570,pom.xml,Social,Social,Social,Social,Hard
62258490,3531293,4143,NULL,2,NULL,0,AwesomePowered/Essentials,3805889,Essentials,42838.38681,25570,pom.xml,Hard,Social,Social,Social,Hard
103340133,4386034,4386034,NULL,1,NULL,0,SimonOrJ/BungeeCord,8928798,BungeeCord,43290.29514,43579.56806,pom.xml,Hard,Social,Social,Social,Hard
68005721,3531293,4143,NULL,2,NULL,0,Minehut/Essentials,6508840,Essentials,42910.89306,25570,pom.xml,Hard,Social,Social,Social,Hard
69094490,3531293,4143,NULL,2,NULL,0,delbertina/Essentials,3186377,Essentials,42925.08125,25570,pom.xml,Hard,Hard,Hard,Hard,Hard
